id,symbol,name,current_price,market_cap,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,9185436.0,182641151330712,0.7298,2025-06-28T17:48:59.167Z
ethereum,eth,Ethereum,208600.0,25179496158020,1.47199,2025-06-28T17:49:01.385Z
tether,usdt,Tether,85.53,13469737669815,0.01905,2025-06-28T17:48:56.994Z
ripple,xrp,XRP,188.08,11097639616762,5.37486,2025-06-28T17:49:05.298Z
binancecoin,bnb,BNB,55299.0,8066583889284,0.47772,2025-06-28T17:48:59.161Z
solana,sol,Solana,12881.3,6866301449791,6.45368,2025-06-28T17:48:55.405Z
usd-coin,usdc,USDC,85.49,5276378584422,0.01885,2025-06-28T17:48:56.531Z
tron,trx,TRON,23.46,2224529118431,0.84216,2025-06-28T17:48:56.905Z
dogecoin,doge,Dogecoin,14.0,2096199384493,2.55984,2025-06-28T17:48:59.976Z
staked-ether,steth,Lido Staked Ether,208516.0,1898893855618,1.51077,2025-06-28T17:49:05.078Z
